sweep,average_plaquette,action_per_plaquette,acceptance_rate
0,0.50293684304950292,0.99412631390099415,0.84375
1,0.46200972880194102,1.075980542396118,0.90625
2,0.48277640211971451,1.0344471957605712,0.96875
3,0.45818762588243267,1.0836247482351349,0.84375
4,0.4254440090726459,1.1491119818547082,0.84375
5,0.42069998350830939,1.1586000329833814,0.71875
6,0.44169995574034526,1.1166000885193097,0.875
7,0.42108956425916222,1.1578208714816758,0.9375
8,0.42295656693015127,1.1540868661396977,0.9375
9,0.42504236312006388,1.1499152737598726,0.78125
10,0.41426422650160066,1.1714715469967989,0.8125
11,0.45973263211279641,1.0805347357744071,0.78125
12,0.49135537885661373,1.0172892422867725,0.90625
13,0.49276717333926234,1.0144656533214753,0.8125
14,0.45185446809809859,1.096291063803803,0.78125
15,0.49822976041966144,1.003540479160677,0.84375
16,0.45472456908018521,1.0905508618396298,0.78125
17,0.46986173508660484,1.0602765298267904,1
18,0.49860992232895246,1.002780155342095,0.84375
19,0.48159468284405954,1.0368106343118813,0.875
20,0.44201468471758409,1.115970630564832,0.8125
21,0.51241896551425747,0.97516206897148516,0.75
22,0.40652787692177611,1.1869442461564477,0.8125
23,0.37269018111108837,1.2546196377778234,0.75
24,0.31096104607038927,1.3780779078592214,0.78125
